name,number
gota,1
chandlodiya,2
chandkheda motera,3
sabarmati,4
ranip,5
nava vadaj,6
ghatlodiya,7
thaltej,8
naranpura,9
sp stadium,10
sardar nagar,11
naroda,12
saijpur bogha,13
kuber nagar,14
asarva,15
shahibaug,16
shahpur,17
navrangpura,18
bodakdev,19
jodhpur,20
dariapur,21
india colony,22
thakkarbapa nagar,23
nikol,24
virat nagar,25
bapu nagar,26
saraspur,27
khadia,28
jamalpur,29
paldi,30
vasna,31
vejalpur,32
sarkhej,33
maktampura,34
behrampura,35
danilimda,36
maninagar,37
gomtipur,38
amraiwadi,39
odhav,40
vastral,41
indrapuri,42
bhaipura hatkeshwar,43
khokhra,44
isanpur,45
lambha,46
vatva,47
ramol hathijan,48
